time	raw
190051	182
190051	183
190052	182
190052	168
190052	156
190152	156
190152	154
190152	139
190152	130
190152	129
190152	130
190152	133
190152	135
190152	136
190152	132
190152	128
190152	129
190152	131
190152	132
190152	132
190152	131
190152	123
190152	124
190152	136
190152	149
190152	152
190152	149
190152	138
190152	123
190152	112
190152	108
190152	116
190152	130
190152	136
190152	134
190152	124
190152	122
190152	132
190152	152
190152	176
190152	192
190152	197
190152	195
190153	188
190153	179
190153	171
190153	172
190153	178
190153	173
190153	169
190153	166
190153	162
190153	156
190153	165
190153	166
190153	154
190153	150
190153	156
190153	162
190153	154
190153	134
190153	118
190153	112
190153	102
190253	92
190253	93
190253	97
190253	104
190253	102
190253	96
190253	100
190253	113
190253	120
190253	119
190253	114
190253	115
190253	120
190253	118
190253	113
190253	112
190253	113
190253	116
190253	113
190253	102
190253	99
190253	104
190253	107
190253	105
190253	100
190253	85
190253	74
190253	85
190253	99
190253	99
190253	86
190253	66
190253	53
190253	53
190253	55
190253	53
190254	51
190254	48
190254	41
190254	34
190254	33
190254	41
190254	41
190254	36
190254	34
190254	44
190254	55
190254	54
190254	54
190254	56
190254	53
190254	45
190354	41
190354	39
190354	35
190354	27
190354	25
190354	24
190354	23
190354	34
190354	50
190354	64
190354	74
190354	77
190354	73
190354	73
190354	72
190354	81
190354	96
190354	107
190354	114
190354	117
190354	123
190354	122
190354	113
190354	103
190354	105
190354	113
190354	104
190354	88
190354	82
190354	87
190354	99
190354	102
190354	93
190354	90
190354	92
190354	98
190354	103
190354	109
190354	106
190354	99
190355	91
190355	81
190355	69
190355	60
190355	52
190355	41
190355	28
190355	19
190355	11
190355	11
190455	17
190455	24
190455	28
190455	27
190456	17
190456	-5
190456	-20
190456	-14
190456	-2
190456	9
190457	21
190457	26
190457	24
190457	17
190457	17
190458	22
190458	22
190458	19
190458	19
190458	29
190458	35
190459	24
190459	10
190459	7
190459	20
190459	33
190459	26
190460	12
190460	13
190460	25
190460	28
190460	16
190460	-8
190461	-28
190461	-43
190461	-53
190461	-50
190461	-27
190461	3
190462	40
190462	69
190462	77
190462	81
190462	90
190463	100
190463	102
190463	102
190463	105
190463	109
190463	115
190464	114
190464	108
190464	104
190564	112
190564	114
190564	132
190564	145
190564	122
190564	81
190564	76
190564	85
190564	72
190564	81
190565	101
190565	112
190565	114
190565	115
190565	119
190565	128
190565	140
190565	148
190565	117
190565	91
190565	129
190565	146
190565	117
190565	147
190565	226
190565	291
190565	324
190565	340
190565	360
190565	393
190565	422
190565	425
190565	409
190565	389
190565	381
190565	374
190565	364
190565	371
190565	380
190565	388
190565	377
190565	355
190565	339
190565	330
190565	323
190565	301
190565	277
190565	249
190565	219
190565	185
190565	153
190565	134
190565	113
190565	73
190665	33
190665	9
190665	-1
190665	-19
190665	-58
190665	-98
190665	-119
190665	-137
190665	-158
190665	-184
190665	-199
190665	-198
190665	-199
190665	-225
190665	-257
190665	-273
190665	-266
190665	-258
190665	-265
190665	-292
190665	-313
190665	-326
190665	-329
190665	-326
190665	-321
190665	-313
190665	-310
190665	-312
190665	-300
190665	-282
190665	-266
190665	-259
190665	-253
190665	-244
190665	-225
190665	-201
190665	-184
190665	-170
190665	-162
190665	-162
190665	-166
190665	-165
190665	-138
190665	-109
190665	-93
190665	-83
190665	-70
190665	-71
190665	-73
190665	-61
190765	-46
190765	-44
190765	-49
190765	-52
190765	-54
190765	-50
190765	-50
190765	-53
190765	-60
190765	-66
190765	-59
190765	-39
190765	-33
190765	-37
190765	-45
190765	-50
190765	-41
190765	-38
190765	-39
190765	-42
190765	-50
190765	-52
190765	-45
190765	-42
190765	-43
190765	-44
190765	-39
190765	-25
190765	-7
190765	2
190765	-1
190765	-20
190765	-36
190765	-35
190765	-22
190765	-19
190765	-17
190765	0
190765	21
190765	26
190765	25
190765	26
190765	29
190765	38
190765	39
190765	44
190765	55
190765	56
190765	59
190765	57
190765	49
190765	37
190765	26
190765	19
190866	9
190866	5
190866	2
190866	-1
190867	5
190867	22
190867	29
190867	27
190867	18
190867	4
190868	5
190868	22
190868	29
190868	28
190868	33
190869	40
190869	49
190869	50
190869	44
190869	48
190869	68
190870	86
190870	96
190870	100
190870	105
190870	105
190870	106
190870	103
190871	90
190871	84
190871	80
190871	74
190871	76
190872	86
190872	82
190872	65
190872	49
190872	42
190872	48
190873	68
190873	96
190873	81
190873	74
190873	72
190873	68
190874	60
190874	52
190874	36
190874	13
190874	-3
190874	-10
190875	-9
190875	-9
190975	-13
190975	-13
190975	-4
190975	11
190975	9
190975	-9
190975	-35
190975	-51
190975	-54
190975	-44
190975	-35
190975	-28
190975	-29
190975	-28
190975	-14
190975	0
190975	12
190975	21
190975	27
190975	38
190975	42
190975	53
190975	57
190975	60
190975	60
190975	64
190975	66
190975	60
190975	60
190975	71
190975	75
190975	69
190975	56
190975	48
190975	41
190975	32
190975	17
190975	1
190975	-4
190975	-4
190975	-4
190975	1
190975	16
190975	33
190975	37
190975	34
190975	29
190975	26
190975	33
190976	34
190976	27
190976	25
191076	21
191076	12
191076	13
191076	19
191076	22
191076	27
191076	29
191076	28
191076	35
191076	50
191076	57
191076	55
191076	54
191076	53
191077	48
191077	40
191077	44
191077	64
191077	73
191078	69
191078	54
191078	48
191078	39
191078	27
191078	21
191079	33
191079	43
191079	38
191079	20
191079	4
191080	-5
191080	-7
191080	-6
191080	2
191080	7
191081	1
191081	-8
191081	-4
191081	10
191081	25
191082	38
191082	43
191082	50
191082	55
191082	58
191082	57
191083	55
191083	55
191083	58
191183	64
191183	70
191183	71
191183	66
191183	52
191183	38
191183	25
191183	24
191183	37
191183	44
191183	37
191183	20
191183	12
191183	21
191183	23
191183	22
191183	24
191183	20
191183	5
191183	-17
191183	-30
191183	-30
191183	-11
191183	12
191183	29
191183	28
191183	22
191183	20
191183	16
191183	8
191183	-4
191183	-26
191183	-37
191183	-21
191183	-3
191184	4
191184	2
191184	-12
191184	-28
191184	-27
191184	-4
191184	22
191184	37
191184	35
191184	32
191184	28
191184	19
191184	13
191184	13
191184	12
191184	17
191184	26
191184	37
191184	35
191284	22
191284	12
191284	12
191284	19
191285	20
191285	19
191285	17
191285	25
191285	40
191286	38
191286	28
191286	25
191286	18
191286	8
191287	-7
191287	-26
191287	-42
191287	-58
191287	-67
191287	-61
191288	-55
191288	-45
191288	-35
191288	-17
191288	0
191288	9
191289	9
191289	16
191289	28
191289	40
191289	50
191289	60
191290	55
191290	39
191290	35
191290	44
191290	61
191290	69
191291	67
191291	72
191291	82
191291	81
191291	71
191292	69
191292	72
191292	68
191292	55
191292	43
191292	38
191293	36
191293	36
191293	34
191293	27
191393	22
191393	9
191393	-9
191393	-22
191393	-9
191393	11
191393	17
191393	-1
191393	-14
191393	-10
191393	1
191393	13
191393	24
191393	28
191393	27
191393	28
191393	33
191393	29
191393	17
191393	1
191393	1
191393	20
191393	32
191393	20
191393	1
191393	-18
191393	-33
191393	-29
191393	-19
191393	-10
191393	-19
191393	-26
191393	-7
191393	18
191393	25
191393	35
191393	48
191393	48
191393	41
191393	34
191393	21
191394	22
191394	35
191394	37
191394	34
191394	38
191394	54
191394	64
191394	57
191394	51
191394	44
191394	38
191394	35
191394	28
191394	25
191394	33
191394	41
191394	7
191494	-40
191494	-99
191494	-116
191494	-81
191494	-28
191494	27
191494	85
191494	106
191494	134
191494	185
191494	220
191495	213
191495	210
191495	282
191495	387
191495	371
191495	256
191496	237
191496	329
191496	405
191496	426
191496	425
191496	440
191497	459
191497	458
191497	441
191497	424
191497	407
191497	392
191498	374
191498	355
191498	342
191498	326
191498	296
191499	250
191499	193
191499	135
191499	85
191499	42
191499	3
191500	-30
191500	-60
191500	-77
191500	-75
191500	-70
191600	-84
191600	-114
191600	-137
191600	-154
191600	-170
191600	-193
191600	-212
191600	-228
191600	-233
191600	-231
191600	-232
191600	-246
191600	-252
191600	-259
191600	-259
191600	-250
191600	-253
191600	-276
191600	-290
191600	-275
191600	-243
191600	-220
191600	-220
191600	-230
191600	-221
191600	-201
191600	-189
191600	-195
191600	-201
191600	-203
191600	-201
191600	-200
191600	-199
191600	-189
191600	-170
191600	-163
191600	-167
191600	-168
191600	-158
191600	-150
191600	-150
191600	-150
191600	-146
191601	-138
191601	-135
191601	-135
191601	-136
191601	-131
191601	-108
191601	-98
191601	-103
191601	-101
191601	-74
191601	-52
191601	-54
191601	-71
191601	-82
191601	-82
191601	-76
191601	-73
191601	-69
191601	-69
191601	-70
191701	-66
191701	-53
191701	-42
191701	-38
191701	-36
191701	-28
